Date,WML005,WML010,WML015,WML020,WML025,WML030,WML035,WML040,WML045,WML050,WML055,WML060,WML065,WML070,WML075,WML080,WML085,WML090,WML095,WML100,WML105,WML110,WML115,WML120,WML125,WML130,WML135,WML140,WML145,WML150,WML155,WML160,WML165,WML170,WML175,WML180,WML185,WML190,WML195,WML200
1963-07-31,1.4912%,3.1837%,6.8285%,7.5667%,8.1834%,8.8595%,5.1812%,5.0380%,4.8244%,5.5818%,5.6825%,5.6863%,6.0889%,6.1882%,6.1882%,6.0866%,5.5633%,5.5633%,5.3025%,5.2140%,5.2140%,4.9273%,4.9273%,4.9273%,5.0554%,5.0554%,5.0554%,4.7015%,6.7123%,6.7123%,6.7123%,6.8013%,6.8013%,6.8013%,6.8013%,4.5586%,4.5586%,-6.4591%,-6.4591%,-6.4591%
1963-08-30,1.5934%,3.5567%,8.7441%,8.8867%,9.2978%,10.7162%,13.5728%,12.1088%,13.0062%,13.4448%,14.2035%,14.0699%,14.1233%,14.5312%,14.5312%,14.2348%,15.1254%,15.1254%,20.0819%,20.0819%,20.1110%,20.9963%,20.2184%,20.2184%,21.1096%,21.1096%,21.1096%,21.2125%,20.9168%,20.9168%,20.9168%,23.3512%,23.3512%,23.3512%,23.3512%,24.9131%,24.9131%,25.0790%,25.0790%,25.0790%
1963-09-30,0.0255%,1.4870%,4.5905%,5.8923%,6.8651%,7.6044%,7.7451%,7.7614%,8.0302%,8.1079%,8.6652%,9.3382%,9.6693%,9.8383%,9.8383%,9.7927%,11.2295%,11.2295%,11.9739%,11.9739%,12.5491%,3.8204%,3.6203%,3.6203%,3.1355%,3.1355%,3.1355%,9.1573%,8.9517%,8.9517%,8.9517%,9.2154%,9.2154%,9.2154%,9.2154%,9.0472%,9.0472%,8.8579%,8.8579%,8.8579%
1963-10-31,6.3459%,4.5173%,5.7041%,4.3322%,3.7727%,6.7197%,10.1938%,10.3370%,10.5265%,6.6443%,8.0691%,7.7767%,8.2789%,10.8256%,10.8256%,11.2267%,11.6918%,11.6918%,10.4387%,10.4387%,9.8564%,9.9831%,11.6434%,11.6434%,10.1925%,10.1925%,10.1925%,10.6717%,10.7155%,10.7155%,10.7155%,9.6807%,9.6807%,9.6807%,9.6807%,9.6807%,9.6807%,14.0429%,14.0429%,14.0429%
1963-11-29,-0.1044%,-0.4842%,0.4366%,0.9676%,1.1147%,0.4361%,-2.9759%,-3.0366%,-3.1117%,-3.1020%,0.1188%,0.3611%,-0.5973%,-0.7097%,-0.7097%,-0.7646%,-0.7345%,-0.7345%,0.2324%,0.2324%,-0.6443%,-0.4665%,-0.4089%,-0.4089%,-0.7600%,-0.7600%,-0.7600%,-0.6550%,-0.8535%,-0.8535%,-0.8535%,-0.2111%,-0.2111%,-0.2111%,-0.2111%,-0.2111%,-0.2111%,-0.1450%,-0.1450%,-0.1450%
1963-12-31,2.5551%,3.6371%,7.5533%,7.8626%,7.6575%,8.9257%,10.1166%,10.3786%,11.7389%,11.7058%,12.1586%,10.9158%,10.9259%,11.1222%,11.1222%,11.4881%,11.4967%,11.4967%,11.4615%,11.4615%,11.5756%,11.6311%,11.4106%,11.4106%,11.5814%,11.5814%,11.5814%,11.7568%,11.5970%,11.5970%,11.5970%,12.2393%,12.2393%,12.2393%,12.2393%,12.2393%,12.2393%,11.4306%,11.4306%,11.4306%
1964-01-31,0.5778%,0.1280%,0.9517%,2.0450%,1.7075%,-0.8461%,-0.7076%,-0.7416%,-1.0386%,-1.3468%,-1.6727%,-1.4954%,-2.1293%,-2.3218%,-2.3218%,-2.3244%,-2.4840%,-2.4840%,-2.8025%,-2.8025%,-2.8079%,-3.9011%,-3.2378%,-3.2378%,-2.7760%,-2.7760%,-2.7760%,-2.7996%,-2.6585%,-2.6585%,-2.6585%,-1.2208%,-1.2208%,-1.2208%,-1.2208%,-1.2208%,-1.2208%,6.2383%,6.2383%,6.2383%
1964-02-28,-0.3684%,0.9717%,2.4055%,3.5227%,4.7786%,4.5923%,4.4201%,4.2520%,4.2091%,2.7973%,3.4823%,3.7615%,3.5916%,3.1353%,3.1353%,3.2549%,3.0107%,3.0107%,1.1455%,1.1455%,0.4372%,0.2355%,0.9712%,0.9712%,1.2086%,1.2086%,1.2086%,-2.9690%,-2.8174%,-2.8174%,-2.8174%,-4.5262%,-4.5262%,-4.5262%,-4.5262%,-4.5262%,-4.5262%,-1.0656%,-1.0656%,-1.0656%
1964-03-31,1.3268%,3.4018%,2.3387%,2.5587%,3.7709%,4.3505%,5.1405%,5.2817%,5.2459%,4.8289%,5.2237%,5.2822%,4.7245%,6.6390%,6.6390%,6.6334%,6.6547%,6.6547%,9.3468%,9.3468%,8.8032%,7.0830%,7.5600%,7.5600%,7.7236%,7.7236%,7.7236%,7.5936%,7.7042%,7.7042%,7.7042%,7.5188%,7.5188%,7.5188%,7.5188%,7.5188%,7.5188%,7.4110%,7.4110%,7.4110%
1964-04-30,-1.6648%,-0.2350%,1.2802%,0.7282%,-0.9632%,-0.6960%,3.2012%,3.3475%,3.3494%,3.4475%,2.9167%,3.0478%,2.9520%,2.9660%,2.9660%,4.3204%,4.5210%,4.5210%,3.1931%,3.1931%,3.6198%,5.0257%,4.9709%,4.9709%,5.5429%,5.5429%,5.5429%,5.6138%,0.6298%,0.6298%,0.6298%,3.4568%,3.4568%,3.4568%,3.4568%,3.4568%,3.4568%,-8.7139%,-8.7139%,-8.7139%
