Date,r0101WML,r0712WML,INDEPEND_r0101Los_r0712WML,INDEPEND_r0101Mid_r0712WML,INDEPEND_r0101Win_r0712WML,INDEPEND_r0712Los_r0101WML,INDEPEND_r0712Mid_r0101WML,INDEPEND_r0712Win_r0101WML,DEPr0101_r0101Los_r0712WML,DEPr0101_r0101Mid_r0712WML,DEPr0101_r0101Win_r0712WML,DEPr0101_r0712Los_r0101WML,DEPr0101_r0712Mid_r0101WML,DEPr0101_r0712Win_r0101WML,DEPr0712_r0101Los_r0712WML,DEPr0712_r0101Mid_r0712WML,DEPr0712_r0101Win_r0712WML,DEPr0712_r0712Los_r0101WML,DEPr0712_r0712Mid_r0101WML,DEPr0712_r0712Win_r0101WML
1926-01-31,,,,,,,,,,,,,,,,,,,,
1926-02-28,,,,,,,,,,,,,,,,,,,,
1926-03-31,,,,,,,,,,,,,,,,,,,,
1926-04-30,,,,,,,,,,,,,,,,,,,,
1926-05-31,,,,,,,,,,,,,,,,,,,,
1926-06-30,,,,,,,,,,,,,,,,,,,,
1926-07-31,,,,,,,,,,,,,,,,,,,,
1926-08-31,1.6677%,,,,,,,,,,,,,,,,,,,
1926-09-30,1.5704%,,,,,,,,,,,,,,,,,,,
1926-10-31,-1.4449%,,,,,,,,,,,,,,,,,,,
1926-11-30,-0.6184%,,,,,,,,,,,,,,,,,,,
1926-12-31,2.0429%,,,,,,,,,,,,,,,,,,,
1927-01-31,-1.2552%,,,,,,,,,,,,,,,,,,,
1927-02-28,-0.6046%,,,,,,,,,,,,,,,,,,,
1927-03-31,0.1978%,,,,,,,,,,,,,,,,,,,
1927-04-30,3.9065%,,,,,,,,,,,,,,,,,,,
1927-05-31,1.6602%,,,,,,,,,,,,,,,,,,,
1927-06-30,0.0608%,,,,,,,,,,,,,,,,,,,
1927-07-31,-0.3051%,6.4781%,4.5724%,7.5279%,7.0635%,-1.0694%,-1.9425%,1.4217%,6.9065%,5.9894%,5.0002%,0.3380%,-2.8581%,-1.5683%,4.1415%,8.6061%,6.6868%,-1.1855%,-1.8243%,1.3598%
1927-08-31,2.6766%,1.8721%,,1.3796%,,,1.7444%,,0.2915%,0.4098%,0.4332%,2.0358%,2.0041%,2.1775%,2.3235%,0.9779%,2.3148%,0.8088%,2.1996%,0.8001%
1927-09-30,2.7353%,2.7911%,2.3827%,2.8612%,3.0341%,0.5686%,3.2984%,1.2200%,0.7302%,1.6908%,2.3227%,1.0887%,4.0255%,2.6813%,2.1677%,2.3491%,3.8565%,-0.1173%,3.9230%,1.5716%
1927-10-31,-4.1519%,-2.1111%,,-2.2867%,,,-7.4489%,,2.9702%,-3.4872%,3.1035%,-4.4788%,-3.5219%,-4.3454%,-0.3097%,-3.1956%,-2.8280%,0.3839%,-6.0306%,-2.1344%
1927-11-30,-3.0593%,-0.1433%,,-2.5739%,-1.7070%,,-2.6474%,-5.5167%,-0.1331%,-2.4315%,-0.9748%,-3.5281%,-2.4051%,-4.3698%,1.9061%,-1.7004%,-0.6356%,-2.7565%,-3.2594%,-5.2982%
1927-12-31,1.2358%,0.9439%,0.6952%,0.8652%,1.7952%,0.0973%,1.6972%,1.1973%,0.7429%,0.9493%,1.7452%,0.1450%,1.1945%,1.1473%,0.5717%,0.5984%,1.5795%,0.3130%,1.1282%,1.3208%
1928-01-31,-0.0819%,-0.6240%,-2.5095%,-0.2066%,1.6316%,-2.2865%,-0.0119%,1.8546%,-1.1504%,-0.2066%,0.3307%,-1.0769%,0.4271%,0.4042%,-1.9939%,0.8325%,-0.7107%,-1.0466%,-1.3668%,0.2367%
1928-02-29,-2.3166%,0.1216%,,-1.4790%,-1.1684%,,-2.6892%,-2.6953%,-0.8400%,-1.4449%,-0.7508%,-1.8756%,-3.2877%,-1.7864%,0.5593%,-0.2814%,0.0869%,-1.3399%,-2.2535%,-1.8123%
1928-03-31,1.3653%,7.7301%,6.0600%,15.1404%,1.7982%,0.7665%,8.1329%,-3.4952%,6.0087%,15.1404%,0.4532%,2.0603%,5.9014%,-3.4952%,5.3495%,13.5194%,4.3214%,-2.4672%,6.1348%,-3.4952%
1928-04-30,-5.7450%,-6.9873%,-6.0029%,-4.7052%,,,-1.1337%,-2.4290%,-6.5798%,-4.7052%,-2.3753%,-7.7078%,-6.0240%,-3.5033%,-2.8213%,-7.9699%,-10.1705%,1.1199%,-1.1993%,-6.2293%
1928-05-31,-2.0576%,2.1833%,1.3003%,-1.1141%,3.3133%,-2.1404%,0.1205%,-0.1275%,1.4037%,-0.1398%,1.5357%,-1.7942%,-2.7164%,-1.6623%,1.9420%,2.7973%,1.8107%,-2.1345%,0.3499%,-2.2658%
